Pcdhb17
Pcdhb19
Pcdhb20
Pcdhb21
Pcdhb22
Taf7
3222401L13Rik
Pcdhga2
Pcdhga7
Pcdhgb4
Pcdhga12
Pcdhga8-1
Pcdhgc5
