ENSMUSG00000035310|Lin54
ENSMUSG00000033031|C330027C09Rik
ENSMUSG00000033948|Zswim5
ENSMUSG00000024589|Nedd4l
ENSMUSG00000031971|Ccsap
ENSMUSG00000033767|Tmem131l
ENSMUSG00000041923|Nol4
ENSMUSG00000027210|Meis2
ENSMUSG00000016386|Mpped2
ENSMUSG00000046982|Tshz1
ENSMUSG00000098051|Gm27032
