ENSMUSG00000027993|Trim2
ENSMUSG00000047976|Kcna1
ENSMUSG00000113654|Gm30893
ENSMUSG00000022456|Sept3
ENSMUSG00000027438|Napb
ENSMUSG00000051062|Fbll1
ENSMUSG00000024962|Vegfb
ENSMUSG00000027457|Snph
ENSMUSG00000028528|Dnajc6
ENSMUSG00000064329|Scn1a
ENSMUSG00000043843|Tmem145
