ENSMUSG00000033487|Fndc3a
ENSMUSG00000034801|Sos2
ENSMUSG00000022335|Zfat
ENSMUSG00000033499|Larp4b
ENSMUSG00000030824|Nucb1
ENSMUSG00000029190|D5Ertd579e
ENSMUSG00000044676|Zfp612
ENSMUSG00000033396|Spg11
ENSMUSG00000100691|2010320M18Rik
ENSMUSG00000021400|Wrnip1
ENSMUSG00000022401|Xpnpep3
