ENSMUSG00000036275|9530068E07Rik
ENSMUSG00000037989|Wnk2
ENSMUSG00000036282|Naa30
ENSMUSG00000029554|Mad1l1
ENSMUSG00000036568|Bicral
ENSMUSG00000036555|Iqce
ENSMUSG00000058318|Phf21a
ENSMUSG00000036529|Sbf1
ENSMUSG00000068747|Sort1
ENSMUSG00000037416|Dmxl1
ENSMUSG00000068040|Tm9sf4
