ENSMUSG00000020869|Lrrc59
ENSMUSG00000027998|Plrg1
ENSMUSG00000036932|Aifm1
ENSMUSG00000053565|Eif3k
ENSMUSG00000018286|Psmb6
ENSMUSG00000021957|Tkt
ENSMUSG00000073640|Rpl27-ps3
ENSMUSG00000025894|Aasdhppt
ENSMUSG00000021392|Nol8
ENSMUSG00000031672|Got2
ENSMUSG00000022312|Eif3h
