ENSMUSG00000022621|Rabl2
ENSMUSG00000045031|Cetn4
ENSMUSG00000035142|Nubpl
ENSMUSG00000097787|2700046G09Rik
ENSMUSG00000042050|Wdr60
ENSMUSG00000032285|Dnaja4
ENSMUSG00000097062|Gm17586
ENSMUSG00000053070|9230110C19Rik
ENSMUSG00000044835|Ankrd45
ENSMUSG00000040945|Rcc2
ENSMUSG00000037971|1110032A03Rik
