ENSMUSG00000032531|Amotl2
ENSMUSG00000031788|Kifc3
ENSMUSG00000031790|Mmp15
ENSMUSG00000024558|Mapk4
ENSMUSG00000018476|Kdm6b
ENSMUSG00000101609|Kcnq1ot1
ENSMUSG00000039458|Mtmr12
ENSMUSG00000030302|Atp2b2
ENSMUSG00000025856|Pdgfa
ENSMUSG00000039410|Prdm16
ENSMUSG00000025025|Mxi1
