ENSMUSG00000049305|Ccdc71
ENSMUSG00000000149|Gna12
ENSMUSG00000021639|Gtf2h2
ENSMUSG00000030614|Tmem126b
ENSMUSG00000042496|Prdm10
ENSMUSG00000031400|G6pdx
ENSMUSG00000040699|Limd2
ENSMUSG00000015733|Capza2
ENSMUSG00000023973|Cnpy3
ENSMUSG00000079426|Arpc4
ENSMUSG00000037905|Bri3bp
