ENSMUSG00000036672|Cenpt
ENSMUSG00000030105|Arl8b
ENSMUSG00000047514|Tspyl1
ENSMUSG00000047417|Rexo1
ENSMUSG00000040390|Map3k10
ENSMUSG00000037085|Trmt12
ENSMUSG00000046351|Zfp322a
ENSMUSG00000032580|Rbm5
ENSMUSG00000033793|Atp6v1h
ENSMUSG00000015478|Rnf5
ENSMUSG00000043572|Pars2
