ENSMUSG00000021033|Gstz1
ENSMUSG00000039556|Ppp1r3f
ENSMUSG00000025898|Cwf19l2
ENSMUSG00000005371|Fbxo11
ENSMUSG00000092365|BC023719
ENSMUSG00000021114|Atp6v1d
ENSMUSG00000031242|2610002M06Rik
ENSMUSG00000019518|Ap4m1
ENSMUSG00000033792|Atp7a
ENSMUSG00000024127|Prepl
ENSMUSG00000024201|Kdm4b
