ENSMUSG00000022704|Qtrt2
ENSMUSG00000098146|Gm26935
ENSMUSG00000024759|Atl3
ENSMUSG00000061079|Zfp143
ENSMUSG00000050312|Nsun3
ENSMUSG00000021962|Dcp1a
ENSMUSG00000026027|Stradb
ENSMUSG00000031833|Mast3
ENSMUSG00000054520|Sh3bp2
ENSMUSG00000034160|Ogt
ENSMUSG00000022314|Rad21
