ENSMUSG00000039599|Fam149b
ENSMUSG00000037885|Stk35
ENSMUSG00000042211|Fbxo38
ENSMUSG00000039463|Slc9a8
ENSMUSG00000029550|Sppl3
ENSMUSG00000033126|Ybey
ENSMUSG00000039633|Lonrf1
ENSMUSG00000031732|Phlpp2
ENSMUSG00000029992|Gfpt1
ENSMUSG00000018076|Med13l
ENSMUSG00000051671|Coa6
