ENSMUSG00000001305|Rrp15
ENSMUSG00000030983|Bccip
ENSMUSG00000036160|Surf6
ENSMUSG00000002129|Sf3a1
ENSMUSG00000037275|Gemin5
ENSMUSG00000025173|Wdr45b
ENSMUSG00000027395|Polr1b
ENSMUSG00000010554|Mettl16
ENSMUSG00000026127|Imp4
ENSMUSG00000026926|Pmpca
ENSMUSG00000017221|Psmd3
