ENSMUSG00000026078|Pdcl3
ENSMUSG00000046806|3110062M04Rik
ENSMUSG00000002820|Atg4d
ENSMUSG00000044715|Gskip
ENSMUSG00000036087|Slain2
ENSMUSG00000028656|Cap1
ENSMUSG00000003161|Sri
ENSMUSG00000028708|Mknk1
ENSMUSG00000002043|Trappc6a
ENSMUSG00000003680|Taf6l
ENSMUSG00000026341|Actr3
