ENSMUSG00000027525|Phactr3
ENSMUSG00000044024|Rell2
ENSMUSG00000031834|Pik3r2
ENSMUSG00000043670|Diras1
ENSMUSG00000056592|Zfp658
ENSMUSG00000042388|Dlgap3
ENSMUSG00000027834|Serpini1
ENSMUSG00000036295|Lrrn3
ENSMUSG00000028785|Hpca
ENSMUSG00000033569|Adgrb3
ENSMUSG00000033900|Map9
