ENSMUSG00000038816|Ctnnal1
ENSMUSG00000020777|Acox1
ENSMUSG00000040430|Pitpnc1
ENSMUSG00000032875|Arhgef17
ENSMUSG00000032850|Rnft2
ENSMUSG00000041308|Sntb2
ENSMUSG00000029705|Cux1
ENSMUSG00000038949|Cnst
ENSMUSG00000025239|Limd1
ENSMUSG00000038375|Trp53inp2
ENSMUSG00000039953|Clstn1
