ENSMUSG00000037649|H2-DMa
ENSMUSG00000026094|Stk17b
ENSMUSG00000078485|Plekhn1
ENSMUSG00000022555|Dgat1
ENSMUSG00000042042|Csgalnact2
ENSMUSG00000008140|Emc10
ENSMUSG00000022477|Aco2
ENSMUSG00000038611|Phrf1
ENSMUSG00000036026|Tmem63b
ENSMUSG00000021877|Arf4
ENSMUSG00000021252|Erg28
