ENSMUSG00000037519|Ppfia1
ENSMUSG00000022668|Gtpbp8
ENSMUSG00000020807|4933427D14Rik
ENSMUSG00000026279|Thap4
ENSMUSG00000098923|Tmem185b
ENSMUSG00000020544|Cox11
ENSMUSG00000111080|Gm20300
ENSMUSG00000029397|Rchy1
ENSMUSG00000038827|Fam206a
ENSMUSG00000041236|Vps41
ENSMUSG00000038812|Trmt112
