ENSMUSG00000038803|Ost4
ENSMUSG00000003573|Homer3
ENSMUSG00000066406|Akap13
ENSMUSG00000064351|mt-Co1
ENSMUSG00000004221|Ikbkg
ENSMUSG00000007836|Hnrnpa0
ENSMUSG00000003444|Med29
ENSMUSG00000028649|Macf1
ENSMUSG00000095098|Ccdc85b
ENSMUSG00000090733|Rps27
ENSMUSG00000001794|Capns1
