ENSMUSG00000032525|Nktr
ENSMUSG00000039246|Lyplal1
ENSMUSG00000040761|Spen
ENSMUSG00000062627|Mysm1
ENSMUSG00000075327|Zbtb2
ENSMUSG00000028563|Tm2d1
ENSMUSG00000029686|Cul1
ENSMUSG00000037526|Atg14
ENSMUSG00000022378|Fam49b
ENSMUSG00000021824|Ap3m1
ENSMUSG00000022553|Maf1
