ENSMUSG00000043259|Fam13c
ENSMUSG00000039911|Spsb1
ENSMUSG00000058070|Eml1
ENSMUSG00000026490|Cdc42bpa
ENSMUSG00000062760|1810041L15Rik
ENSMUSG00000027882|Stxbp3
ENSMUSG00000026442|Nfasc
ENSMUSG00000028020|Glrb
ENSMUSG00000026657|Frmd4a
ENSMUSG00000033863|Klf9
ENSMUSG00000025702|March8
