ENSMUSG00000052763|Zfp212
ENSMUSG00000036180|Gatad2a
ENSMUSG00000010045|Tmem115
ENSMUSG00000010047|Hyal2
ENSMUSG00000041890|Git2
ENSMUSG00000027522|Stx16
ENSMUSG00000044709|Gemin7
ENSMUSG00000078201|Tmem203
ENSMUSG00000023026|Dip2b
ENSMUSG00000010392|Gosr1
ENSMUSG00000030779|Rbbp6
