ENSMUSG00000055491|Pprc1
ENSMUSG00000097772|5430416N02Rik
ENSMUSG00000036580|Spg20
ENSMUSG00000026740|Dnajc1
ENSMUSG00000025525|Apool
ENSMUSG00000043439|Epop
ENSMUSG00000028840|Zfp593
ENSMUSG00000047613|A430005L14Rik
ENSMUSG00000025591|Tma16
ENSMUSG00000046791|Riox1
ENSMUSG00000025436|Atp23
