ENSMUSG00000027245|Hypk
ENSMUSG00000079215|Zfp664
ENSMUSG00000005469|Prkaca
ENSMUSG00000031633|Slc25a4
ENSMUSG00000029993|Nfu1
ENSMUSG00000003131|Pafah1b2
ENSMUSG00000024501|Dpysl3
ENSMUSG00000031065|Cdk16
ENSMUSG00000059923|Grb2
ENSMUSG00000020402|Vdac1
ENSMUSG00000019428|Fkbp8
