ENSMUSG00000021287|Xrcc3
ENSMUSG00000039405|Prss23
ENSMUSG00000025076|Casp7
ENSMUSG00000044645|Gm7334
ENSMUSG00000031224|Magee2
ENSMUSG00000073481|Marc2
ENSMUSG00000029171|Pgm1
ENSMUSG00000030319|Cand2
ENSMUSG00000040174|Alkbh3
ENSMUSG00000031641|Cbr4
ENSMUSG00000044367|Slc16a13
