ENSMUSG00000061286|Exosc5
ENSMUSG00000021958|Pinx1
ENSMUSG00000007415|Gatad1
ENSMUSG00000074476|Spc24
ENSMUSG00000056305|Usp39
ENSMUSG00000028224|Nbn
ENSMUSG00000028010|Gar1
ENSMUSG00000075304|Sp5
ENSMUSG00000047897|Ripply2
ENSMUSG00000030543|Mesp2
ENSMUSG00000014980|Tsen15
