ENSMUSG00000018651|Tada2a
ENSMUSG00000022554|Hgh1
ENSMUSG00000057789|Bak1
ENSMUSG00000036990|Otud4
ENSMUSG00000002835|Chaf1a
ENSMUSG00000029591|Ung
ENSMUSG00000022673|Mcm4
ENSMUSG00000001785|Pwp1
ENSMUSG00000021218|Gdi2
ENSMUSG00000025786|Zdhhc3
ENSMUSG00000021519|Mterf3
