ENSMUSG00000027603|Ggt7
ENSMUSG00000041073|Nacad
ENSMUSG00000020668|Kif3c
ENSMUSG00000031398|Plxna3
ENSMUSG00000025777|Gdap1
ENSMUSG00000031970|Dbndd1
ENSMUSG00000050875|A730017C20Rik
ENSMUSG00000034614|Pik3ip1
ENSMUSG00000097165|2210008F06Rik
ENSMUSG00000039485|Tspyl4
ENSMUSG00000029168|Dpysl5
