ENSMUSG00000026241|Nppc
ENSMUSG00000086815|3110082J24Rik
ENSMUSG00000051343|Rab11fip5
ENSMUSG00000030986|Dhx32
ENSMUSG00000037035|Inhbb
ENSMUSG00000031665|Sall1
ENSMUSG00000020388|Pdlim4
ENSMUSG00000028354|Fmn2
ENSMUSG00000028289|Epha7
ENSMUSG00000021852|Slc35f4
ENSMUSG00000052430|Bmpr1b
