ENSMUSG00000101225|1700008J07Rik
ENSMUSG00000021775|Nr1d2
ENSMUSG00000022389|Tef
ENSMUSG00000039234|Sec24d
ENSMUSG00000041762|Gpr155
ENSMUSG00000046743|Fat4
ENSMUSG00000079157|Fam155a
ENSMUSG00000023868|Pde10a
ENSMUSG00000049265|Kcnk3
ENSMUSG00000069270|Hist1h2ac
ENSMUSG00000006218|Fam131c
