ENSMUSG00000044442|N6amt1
ENSMUSG00000050930|Map10
ENSMUSG00000030452|Nipa2
ENSMUSG00000027194|Ttc17
ENSMUSG00000071291|Zfp58
ENSMUSG00000068264|Ap5s1
ENSMUSG00000097392|D930016D06Rik
ENSMUSG00000038290|Smg6
ENSMUSG00000041444|Arhgap32
ENSMUSG00000058638|Zfp110
ENSMUSG00000048832|Vps37c
