ENSMUSG00000034949|Zfr2
ENSMUSG00000022003|Slc25a30
ENSMUSG00000052656|Rnf103
ENSMUSG00000031706|Rfx1
ENSMUSG00000024959|Bad
ENSMUSG00000004364|Cul3
ENSMUSG00000060510|Zfp266
ENSMUSG00000004896|Rrnad1
ENSMUSG00000020521|Rnft1
ENSMUSG00000069835|Sat2
ENSMUSG00000072772|Grcc10
