ENSMUSG00000006057|Atp5g1
ENSMUSG00000019763|Rmnd1
ENSMUSG00000093979|Gm2237
ENSMUSG00000030058|Copg1
ENSMUSG00000036751|Cox6b1
ENSMUSG00000038690|Atp5j2
ENSMUSG00000030869|Ndufab1
ENSMUSG00000025204|Ndufb8
ENSMUSG00000038784|Cnot4
ENSMUSG00000014313|Cox6c
ENSMUSG00000033938|Ndufb7
