ENSMUSG00000053024|Cntn2
ENSMUSG00000028906|Epb41
ENSMUSG00000000247|Lhx2
ENSMUSG00000036242|3632451O06Rik
ENSMUSG00000056679|Gpr173
ENSMUSG00000061603|Akap6
ENSMUSG00000060568|Fam78b
ENSMUSG00000003436|Dll3
ENSMUSG00000034993|Vat1
ENSMUSG00000038301|Snx10
ENSMUSG00000102548|Gm16701
