ENSMUSG00000019777|Hdac2
ENSMUSG00000045251|Zfp688
ENSMUSG00000057335|Cep170
ENSMUSG00000044150|Bclaf3
ENSMUSG00000037640|Zfp60
ENSMUSG00000029924|Slc37a3
ENSMUSG00000026705|Klhl20
ENSMUSG00000001157|Gmcl1
ENSMUSG00000020719|Ddx5
ENSMUSG00000008393|Carhsp1
ENSMUSG00000024006|Stk38
