ENSMUSG00000020647|Ncoa1
ENSMUSG00000022203|Efs
ENSMUSG00000032373|Car12
ENSMUSG00000041417|Pik3r1
ENSMUSG00000002274|Metrn
ENSMUSG00000038013|Wipf2
ENSMUSG00000038022|Mindy4
ENSMUSG00000028341|Nr4a3
ENSMUSG00000057963|Itpk1
ENSMUSG00000009647|Mcu
ENSMUSG00000028514|Usp24
