ENSMUSG00000032020|Ubash3b
ENSMUSG00000031453|Rasa3
ENSMUSG00000020300|Cpeb4
ENSMUSG00000028057|Rit1
ENSMUSG00000059182|Skap2
ENSMUSG00000070639|Lrrc8b
ENSMUSG00000022323|Rida
ENSMUSG00000053965|Pde5a
ENSMUSG00000021057|Akap5
ENSMUSG00000020741|Cluh
ENSMUSG00000038172|Ttc39b
