ENSMUSG00000024378|Stard4
ENSMUSG00000020611|Gna13
ENSMUSG00000059811|Atl2
ENSMUSG00000065954|Tacc1
ENSMUSG00000040009|Gnaz
ENSMUSG00000022372|Sla
ENSMUSG00000030844|Rgs10
ENSMUSG00000042363|Lgalsl
ENSMUSG00000021371|Mcur1
ENSMUSG00000042328|Hps4
ENSMUSG00000035722|Abca7
