ENSMUSG00000025425|St8sia5
ENSMUSG00000048332|Lhfp
ENSMUSG00000018800|Abca5
ENSMUSG00000021567|Nkd2
ENSMUSG00000026042|Col5a2
ENSMUSG00000022454|Nell2
ENSMUSG00000032413|Rasa2
ENSMUSG00000116852|1700102H20Rik
ENSMUSG00000021792|Fam213a
ENSMUSG00000026473|Glul
ENSMUSG00000022885|St6gal1
