ENSMUSG00000051224|Tceanc
ENSMUSG00000062861|Zfp28
ENSMUSG00000033577|Myo6
ENSMUSG00000029055|Plch2
ENSMUSG00000046404|Yod1
ENSMUSG00000038594|Cep85l
ENSMUSG00000047123|Ticam1
ENSMUSG00000090641|Zfp712
ENSMUSG00000037736|Limch1
ENSMUSG00000084947|Gm15594
ENSMUSG00000110862|Gm35835
