ENSMUSG00000018707|Dync1h1
ENSMUSG00000091896|Ube2d2a
ENSMUSG00000042208|0610010F05Rik
ENSMUSG00000020308|Tpgs1
ENSMUSG00000031202|Rab39b
ENSMUSG00000035969|Rusc2
ENSMUSG00000015247|Nipsnap3b
ENSMUSG00000002343|Armc6
ENSMUSG00000024603|Dctn4
ENSMUSG00000022841|Ap2m1
ENSMUSG00000036299|BC031181
