ENSMUSG00000021719|Rgs7bp
ENSMUSG00000024109|Nrxn1
ENSMUSG00000041649|Klf8
ENSMUSG00000060240|Cend1
ENSMUSG00000026131|Dst
ENSMUSG00000046157|Tmem229b
ENSMUSG00000062252|Lhfpl5
ENSMUSG00000039661|Dusp26
ENSMUSG00000052949|Rnf157
ENSMUSG00000051950|B3glct
ENSMUSG00000029428|Stx2
