ENSMUSG00000042078|Svop
ENSMUSG00000048240|Gng7
ENSMUSG00000030067|Foxp1
ENSMUSG00000033910|Gucy1a1
ENSMUSG00000037674|Rfx7
ENSMUSG00000042742|Bmt2
ENSMUSG00000048251|Bcl11b
ENSMUSG00000048280|Zfp738
ENSMUSG00000070576|Mn1
ENSMUSG00000004360|9330159F19Rik
ENSMUSG00000042589|Cux2
