ENSMUSG00000042312|S100a13
ENSMUSG00000044469|Tnfaip8l1
ENSMUSG00000016520|Lnx2
ENSMUSG00000009569|Mkl2
ENSMUSG00000040857|Erf
ENSMUSG00000050549|Fam241a
ENSMUSG00000070565|Rasal2
ENSMUSG00000021133|Susd6
ENSMUSG00000004040|Stat3
ENSMUSG00000070056|Mfhas1
ENSMUSG00000025978|Rftn2
