ENSMUSG00000113170|Gm36839
ENSMUSG00000107143|Gm6598
ENSMUSG00000101856|1700096K18Rik
ENSMUSG00000032998|Foxj3
ENSMUSG00000097835|Gm26910
ENSMUSG00000028920|Fbxo42
ENSMUSG00000036504|Phpt1
ENSMUSG00000085436|Zfp335os
ENSMUSG00000113440|Gm46404
ENSMUSG00000092260|Zfp963
ENSMUSG00000029634|Rnf6
