ENSMUSG00000056209|Npm3
ENSMUSG00000021752|Kctd6
ENSMUSG00000029538|Srsf9
ENSMUSG00000029007|Agtrap
ENSMUSG00000013629|Cad
ENSMUSG00000027353|Mcm8
ENSMUSG00000031226|Pbdc1
ENSMUSG00000015176|Nolc1
ENSMUSG00000035597|Prpf39
ENSMUSG00000036992|Nxt1
ENSMUSG00000020706|Ftsj3
