ENSMUSG00000004849|Ap1s1
ENSMUSG00000004771|Rab11a
ENSMUSG00000027852|Nras
ENSMUSG00000075706|Gpx4
ENSMUSG00000034793|G6pc3
ENSMUSG00000036599|Chst12
ENSMUSG00000040242|Fgfr1op2
ENSMUSG00000002015|Bcap31
ENSMUSG00000028398|Dmac1
ENSMUSG00000026509|Capn2
ENSMUSG00000030282|Cmas
