ENSMUSG00000035901|Dennd5a
ENSMUSG00000032578|Cish
ENSMUSG00000037824|Tspan14
ENSMUSG00000042548|Asxl1
ENSMUSG00000033632|AW554918
ENSMUSG00000030283|St8sia1
ENSMUSG00000051113|Fam71e1
ENSMUSG00000022793|B4galt4
ENSMUSG00000022791|Tnk2
ENSMUSG00000027281|Slx4ip
ENSMUSG00000059142|Zfp945
