ENSMUSG00000060424|Pantr1
ENSMUSG00000037029|Zfp146
ENSMUSG00000033323|Ctdp1
ENSMUSG00000027371|Fahd2a
ENSMUSG00000069301|Hist1h2ag
ENSMUSG00000034648|Lrrn1
ENSMUSG00000097023|Mir9-3hg
ENSMUSG00000034317|Trim59
ENSMUSG00000026728|Vim
ENSMUSG00000096753|Fam181a
ENSMUSG00000035762|Tmem161b
