ENSMUSG00000025507|Pidd1
ENSMUSG00000043753|Dmrta1
ENSMUSG00000055782|Abcd2
ENSMUSG00000018169|Mfng
ENSMUSG00000028986|Klhl7
ENSMUSG00000105686|Gm35394
ENSMUSG00000051295|9630028B13Rik
ENSMUSG00000033726|Emx1
ENSMUSG00000037172|E330009J07Rik
ENSMUSG00000111094|Gm34425
ENSMUSG00000029394|Cdk2ap1
