ENSMUSG00000018001|Cyth3
ENSMUSG00000058587|Tmod3
ENSMUSG00000038780|Smurf1
ENSMUSG00000047731|Wbp1l
ENSMUSG00000070733|Fryl
ENSMUSG00000035673|Sbno2
ENSMUSG00000028530|Jak1
ENSMUSG00000034006|Pqlc1
ENSMUSG00000000631|Myo18a
ENSMUSG00000001227|Sema6b
ENSMUSG00000001156|Mxd1
