ENSMUSG00000025373|Rnf41
ENSMUSG00000062906|Hdac10
ENSMUSG00000059689|Zfp637
ENSMUSG00000030718|Ppme1
ENSMUSG00000051154|Commd3
ENSMUSG00000038080|Kdm1b
ENSMUSG00000057778|Cyb5d2
ENSMUSG00000097635|Gm26826
ENSMUSG00000076431|Sox4
ENSMUSG00000033209|Ttc28
ENSMUSG00000002107|Celf2
