ENSMUSG00000039748|Exo1
ENSMUSG00000025925|Terf1
ENSMUSG00000049235|Gm7324
ENSMUSG00000028066|Pmf1
ENSMUSG00000037169|Mycn
ENSMUSG00000026970|Rbms1
ENSMUSG00000027552|E2f5
ENSMUSG00000024247|Pkdcc
ENSMUSG00000031490|Eif4ebp1
ENSMUSG00000022257|Laptm4b
ENSMUSG00000031146|Plp2
