ENSMUSG00000028634|Hivep3
ENSMUSG00000034656|Cacna1a
ENSMUSG00000071658|Gng3
ENSMUSG00000036611|Eepd1
ENSMUSG00000019066|Rab3d
ENSMUSG00000013367|Iglon5
ENSMUSG00000032549|Rab6b
ENSMUSG00000028931|Kcnab2
ENSMUSG00000033713|Foxn3
ENSMUSG00000040022|Rab11fip2
ENSMUSG00000039960|Rhou
