ENSMUSG00000026220|Slc16a14
ENSMUSG00000113831|AC163032.1
ENSMUSG00000096221|1500002C15Rik
ENSMUSG00000059974|Ntm
ENSMUSG00000063894|Zkscan8
ENSMUSG00000032368|Zic1
ENSMUSG00000022306|Zfpm2
ENSMUSG00000023927|Satb1
ENSMUSG00000039037|St6galnac5
ENSMUSG00000056185|Snx32
ENSMUSG00000001986|Gria3
