ENSMUSG00000058392|Rrp1b
ENSMUSG00000000384|Tbrg4
ENSMUSG00000020739|Nup85
ENSMUSG00000020899|Pfas
ENSMUSG00000025665|Rps6ka6
ENSMUSG00000024785|Rcl1
ENSMUSG00000016984|Etaa1
ENSMUSG00000030505|Prmt3
ENSMUSG00000101523|Gm10031
ENSMUSG00000025289|Prdx4
ENSMUSG00000027014|Cwc22
