ENSMUSG00000023170|Gps2
ENSMUSG00000028394|Pole3
ENSMUSG00000032590|Apeh
ENSMUSG00000023030|Slc11a2
ENSMUSG00000032519|Slc25a38
ENSMUSG00000040767|Snrnp25
ENSMUSG00000040356|Skiv2l
ENSMUSG00000023939|Mrpl14
ENSMUSG00000011257|Pabpc4
ENSMUSG00000026688|Mgst3
ENSMUSG00000023307|March5
