ENSMUSG00000030168|Adipor2
ENSMUSG00000008730|Hipk1
ENSMUSG00000042541|Sem1
ENSMUSG00000021470|Ercc6l2
ENSMUSG00000015337|Endog
ENSMUSG00000063145|Bbs5
ENSMUSG00000022948|Setd4
ENSMUSG00000059518|Znhit1
ENSMUSG00000073147|5031425E22Rik
ENSMUSG00000043987|Cep164
ENSMUSG00000040549|Ckap5
