ENSMUSG00000076441|Ass1
ENSMUSG00000017412|Cacnb4
ENSMUSG00000035596|Mboat7
ENSMUSG00000032349|Elovl5
ENSMUSG00000078695|Cisd3
ENSMUSG00000030584|Dpf1
ENSMUSG00000050138|Kcnk12
ENSMUSG00000008658|Rbfox1
ENSMUSG00000027655|Dhx35
ENSMUSG00000020660|Pomc
ENSMUSG00000051527|Usp29
