ENSMUSG00000035944|Ttc38
ENSMUSG00000063887|Nlgn1
ENSMUSG00000026565|Pou2f1
ENSMUSG00000036565|Ttyh3
ENSMUSG00000114401|Gm38604
ENSMUSG00000078154|Gm12184
ENSMUSG00000029211|Gabra4
ENSMUSG00000032470|Mras
ENSMUSG00000033475|Tomm6
ENSMUSG00000032352|Lrrc1
ENSMUSG00000027832|Ptx3
