ENSMUSG00000033059|Pygb
ENSMUSG00000037287|Tbcel
ENSMUSG00000070047|Fat1
ENSMUSG00000060579|Fhit
ENSMUSG00000056124|B4galt6
ENSMUSG00000042613|Pbxip1
ENSMUSG00000034235|Usp54
ENSMUSG00000033965|Slc16a2
ENSMUSG00000059248|Sept9
ENSMUSG00000034312|Iqsec1
ENSMUSG00000030102|Itpr1
