ENSMUSG00000021024|Psma6
ENSMUSG00000002748|Baz1b
ENSMUSG00000041846|Ppp4r3a
ENSMUSG00000041879|Ipo9
ENSMUSG00000058600|Rpl30
ENSMUSG00000048755|Mcat
ENSMUSG00000028431|Ikbkap
ENSMUSG00000024853|Sf3b2
ENSMUSG00000059355|Wdr83os
ENSMUSG00000001285|Myg1
ENSMUSG00000024370|Cdc23
