ENSMUSG00000032316|Clk3
ENSMUSG00000075704|Txnrd2
ENSMUSG00000078652|Psme3
ENSMUSG00000026632|Tatdn3
ENSMUSG00000062729|Ppox
ENSMUSG00000018909|Arrb1
ENSMUSG00000032026|Rexo2
ENSMUSG00000028684|Urod
ENSMUSG00000043190|Rfesd
ENSMUSG00000005510|Ndufs3
ENSMUSG00000045160|Bola3
